"l_proj_short";"year_samp";"c_sp_fao";"l_sex_short";"v_fl";"v_wt"
"ASCLME-POP";2010;"SKJ";"F";51.7;2.8
"EMOTION";2010;"YFT";"";48;2.4
"EMOTION";2010;"YFT";"";48.7;2.3
"SAUMTEST";2010;"YFT";"";52;2.3
"EMOTION";2010;"SKJ";"";40.6;1.4
"EMOTION";2010;"SKJ";"";39;1.2
"EMOTION";2010;"SKJ";"";40;1.3
"EMOTION";2010;"SKJ";"";39.4;1.3
"EMOTION";2010;"SKJ";"";39;1.2
"ASCLME-POP";2010;"SKJ";"M";47.4;2.3
"ASCLME-POP";2010;"SKJ";"F";50.3;2.4
"ASCLME-POP";2010;"SKJ";"F";54;3.5
"EMOTION";2010;"YFT";"";49.5;2.5
"SAUMTEST";2010;"SKJ";"M";56.7;4
"SAUMTEST";2010;"SKJ";"M";38.4;1.1
"SAUMTEST";2010;"SKJ";"M";42.4;1.5
"SAUMTEST";2010;"SKJ";"M";38.7;1.2
"ASCLME-POP";2010;"SKJ";"M";51.2;2.8
"ASCLME-POP";2010;"SKJ";"F";52.5;3.3
"ASCLME-POP";2010;"SKJ";"M";52.4;2.9
"ASCLME-POP";2010;"SKJ";"F";54.3;3.1
"ASCLME-POP";2010;"SKJ";"F";58.9;4.1
"ASCLME-POP";2010;"SKJ";"M";54;3.4
"ASCLME-POP";2010;"SKJ";"M";57.9;4.6
"SAUMTEST";2010;"SKJ";"F";54.9;3.7
"EMOTION";2010;"YFT";"";48.7;2.4
"EMOTION";2010;"YFT";"M";50.3;2.6
"SAUMTEST";2010;"YFT";"M";50.4;2.6
"SAUMTEST";2010;"YFT";"";43.8;1.7
"SAUMTEST";2010;"YFT";"M";48.5;2.3
"EMOTION";2010;"YFT";"";49.5;2.4
"EMOTION";2011;"BET";"F";74.7;10.18
"EMOTION";2011;"BET";"F";75.5;10.1
"EMOTION";2011;"BET";"M";78.2;10.82
"EMOTION";2011;"BET";"";55.5;4.16
"EMOTION";2011;"BET";"";57.4;4
"EMOTION";2011;"BET";"M";77.8;10.83
"EMOTION";2011;"BET";"F";82.1;12.13
"EMOTION";2011;"BET";"F";95.2;20.31
"EMOTION";2011;"BET";"";62;5.88
"EMOTION";2011;"BET";"F";96.5;21.58
"EMOTION";2011;"BET";"F";99.7;23.69
"EMOTION";2011;"BET";"F";114;32.15
"EMOTION";2011;"BET";"F";102.6;24.41
"EMOTION";2011;"BET";"F";95.7;20.69
"EMOTION";2011;"BET";"F";110.9;30.74
"EMOTION";2011;"BET";"F";113.4;31.02
"EMOTION";2011;"BET";"F";96.2;21.7
"EMOTION";2011;"BET";"M";99.2;21.14
"EMOTION";2011;"BET";"M";76;10.75
"EMOTION";2011;"BET";"F";77.7;11.31
"EMOTION";2011;"BET";"M";79;12.09
"EMOTION";2011;"BET";"M";79.8;12.36
"CANAL";2013;"YFT";"F";56.1;3.4
"CANAL";2013;"YFT";"";36.2;0.9
"CANAL";2013;"BET";"";56;3.2
"CANAL";2013;"BET";"";54.9;2.8
"CANAL";2013;"YFT";"";35.8;0.7
"CANAL";2013;"YFT";"";31.9;0.5
"CANAL";2013;"YFT";"";31.9;0.4
"CANAL";2013;"YFT";"";32.7;0.5
"CANAL";2013;"YFT";"M";55.1;3.4
"CANAL";2013;"YFT";"F";56.7;3.7
"CANAL";2013;"YFT";"";56.6;3.5
"CANAL";2013;"YFT";"";57.2;3
"CANAL";2013;"YFT";"";57.7;3.3
"CANAL";2013;"YFT";"M";57.3;3.2
"CANAL";2013;"YFT";"";55;2.6
"CANAL";2013;"YFT";"";56.2;3.3
"CANAL";2013;"YFT";"";55.8;3.6
"CANAL";2013;"YFT";"";57.1;3.7
"CANAL";2013;"YFT";"";56.8;3.6
"CANAL";2013;"YFT";"F";54.3;3.1
"CANAL";2013;"YFT";"F";56.7;3.7
"CANAL";2013;"YFT";"";57.6;3.8
"CANAL";2013;"YFT";"";57.2;3.7
"CANAL";2013;"YFT";"";55.8;3.2
"CANAL";2013;"YFT";"F";53.5;3.1
"CANAL";2013;"YFT";"";57.1;3.8
"CANAL";2013;"YFT";"F";103;20.2
"CANAL";2013;"YFT";"M";95;18.2
"CANAL";2013;"YFT";"F";95.5;17.3
"CANAL";2013;"YFT";"F";100.5;19.4
"CANAL";2013;"YFT";"M";102.3;21.6
"CANAL";2013;"YFT";"F";101.2;21.9
"CANAL";2013;"YFT";"F";97.4;17.2
"CANAL";2013;"YFT";"F";99.4;18.1
"CANAL";2013;"YFT";"F";102.6;20.3
"CANAL";2013;"YFT";"M";101.3;19.4
"CANAL";2013;"YFT";"";61.2;4.6
"CANAL";2013;"YFT";"";63.9;4.8
"CANAL";2013;"YFT";"F";63.1;4.7
"CANAL";2013;"YFT";"F";62.6;4.9
"CANAL";2013;"YFT";"F";63.5;5.1
"CANAL";2013;"YFT";"F";61.3;4.8
"CANAL";2013;"YFT";"";62.7;4.8
"CANAL";2013;"YFT";"";66;5.5
"CANAL";2013;"YFT";"F";127;40.6
"CANAL";2013;"YFT";"M";120.5;38.8
"CANAL";2013;"YFT";"F";130.1;46.4
"CANAL";2013;"YFT";"M";123;39.8
"CANAL";2013;"YFT";"F";126.3;43
"CANAL";2013;"YFT";"F";128.1;40.4
"CANAL";2013;"YFT";"M";129.2;45.5
"CANAL";2013;"YFT";"F";94;16.4
"CANAL";2013;"YFT";"M";108.8;26.5
"CANAL";2013;"YFT";"F";108.5;24.4
"CANAL";2013;"YFT";"M";118.3;31.3
"CANAL";2013;"YFT";"M";103.6;22.4
"CANAL";2013;"YFT";"F";107.5;24.8
"CANAL";2013;"YFT";"F";107.4;24.7
"CANAL";2013;"YFT";"M";117;34.8
"CANAL";2013;"YFT";"M";107.9;23.3
"CANAL";2013;"YFT";"F";106.1;24.3
"Liver test";2013;"YFT";"F";77.5;9.9
"CANAL";2013;"YFT";"F";75.8;9.1
"CANAL";2013;"YFT";"M";73.7;8.4
"CANAL";2013;"YFT";"F";75;8.9
"CANAL";2013;"YFT";"M";69.9;7.9
"CANAL";2013;"YFT";"M";51.7;2.8
"CANAL";2013;"YFT";"";36.5;1
"CANAL";2013;"YFT";"";36.8;1
"CANAL";2013;"YFT";"";35.9;0.9
"CANAL";2013;"YFT";"";50.9;2.9
"CANAL";2013;"YFT";"M";112.5;30.4
"CANAL";2013;"YFT";"F";125;42
"CANAL";2013;"YFT";"M";132.4;50.1
"CANAL";2013;"YFT";"M";138.5;57.8
"CANAL";2013;"YFT";"M";152.4;77.8
"CANAL";2013;"YFT";"M";149.9;74.9
"CANAL";2013;"YFT";"M";143.7;64
"CANAL";2013;"YFT";"";50.3;2.6
"CANAL";2013;"YFT";"";47;2.1
"CANAL";2013;"YFT";"";44.6;1.9
"CANAL";2013;"YFT";"";36.8;1.2
"CANAL";2013;"YFT";"";46.9;2.2
"CANAL";2013;"YFT";"M";149;71.5
"CANAL";2013;"YFT";"F";132.9;49.6
"CANAL";2013;"YFT";"M";124;41
"CANAL";2013;"YFT";"M";157;78.2
"CANAL";2013;"YFT";"M";155.5;80.3
"CANAL";2013;"YFT";"M";142.9;62.9
"CANAL";2013;"YFT";"F";131.5;46.9
"CANAL";2013;"YFT";"M";151;71.9
"CANAL";2013;"YFT";"M";140.4;61.9
"CANAL";2013;"YFT";"M";62.4;4.7
"CANAL";2013;"YFT";"";53.3;3.3
"CANAL";2013;"YFT";"F";61.3;4.7
"CANAL";2013;"YFT";"";73.4;7.6
"CANAL";2013;"YFT";"";40.8;1.5
"CANAL";2013;"YFT";"M";60.2;4.7
"CANAL";2013;"YFT";"M";72.2;9.1
"CANAL";2013;"YFT";"";62;5.1
"CANAL";2013;"YFT";"F";122.5;36.7
"CANAL";2013;"YFT";"M";91.7;15.6
"CANAL";2013;"YFT";"M";91;15
"CANAL";2013;"YFT";"M";124.4;41.3
"CANAL";2013;"YFT";"M";116.9;35.6
"CANAL";2013;"YFT";"F";104;24.4
"CANAL";2013;"YFT";"M";123.4;37.6
"CANAL";2013;"YFT";"M";86.4;13.9
"CANAL";2013;"YFT";"M";65.9;5.8
"CANAL";2013;"YFT";"M";61.8;4.7
"CANAL";2013;"YFT";"M";66.9;5.6
"CANAL";2013;"YFT";"F";91.5;15.3
"CANAL";2013;"YFT";"F";89.7;14.5
"CANAL";2013;"YFT";"F";82.5;10.9
"CANAL";2013;"YFT";"F";78.5;9.5
"CANAL";2013;"YFT";"F";88.8;13.9
"CANAL";2013;"YFT";"M";96;17.8
"CANAL";2013;"YFT";"M";88.9;14.6
"CANAL";2013;"YFT";"M";88.9;14.3
"CANAL";2013;"YFT";"F";90;15.1
"CANAL";2013;"YFT";"F";92.8;16.1
"CANAL";2013;"YFT";"F";88.9;14.1
"CANAL";2013;"YFT";"M";89.2;13.5
"CANAL";2013;"YFT";"M";66.4;5.5
"CANAL";2013;"YFT";"F";68.5;6.1
"CANAL";2013;"YFT";"M";69.7;6.6
"CANAL";2013;"YFT";"M";54.2;3.3
"CANAL";2013;"YFT";"M";61.6;4.6
"CANAL";2013;"YFT";"M";65.9;5.6
"CANAL";2013;"YFT";"M";63.6;5
"CANAL";2013;"YFT";"F";47;2
"CANAL";2013;"YFT";"F";46;1.9
"CANAL";2013;"YFT";"M";49;2.3
"CANAL";2013;"YFT";"M";49;2.5
"CANAL";2013;"YFT";"M";45;1.9
"CANAL";2013;"YFT";"M";44;1.8
"CANAL";2013;"YFT";"";36.7;0.9
"CANAL";2013;"YFT";"";38.2;1.2
"CANAL";2013;"YFT";"M";43.8;1.6
"CANAL";2013;"YFT";"M";45.3;1.9
"CANAL";2013;"YFT";"M";140;53.1
"CANAL";2013;"YFT";"F";78.4;10
"CANAL";2013;"YFT";"F";92.6;17.5
"CANAL";2013;"YFT";"M";78.8;10.8
"CANAL";2013;"YFT";"F";83;12.1
"CANAL";2013;"YFT";"M";108.8;26.5
