"project";"sampling_year";"species_code_fao";"sex";"fork_length";"whole_fishweight"
"BIOMCO";1987;"YFT";"F";110.5;25.5
"BIOMCO";1987;"YFT";"F";120;34
"BIOMCO";1987;"YFT";"M";112;27
"BIOMCO";1987;"YFT";"M";110.5;26.5
"BIOMCO";1987;"YFT";"M";114;27.5
"BIOMCO";1987;"YFT";"M";116;29.5
"BIOMCO";1987;"YFT";"M";111;25.5
"BIOMCO";1987;"YFT";"F";115.5;30
"BIOMCO";1987;"YFT";"M";113.5;28
"BIOMCO";1987;"YFT";"F";110;27
"BIOMCO";1987;"YFT";"M";114.5;26.5
"BIOMCO";1987;"YFT";"M";114.5;26.5
"BIOMCO";1987;"YFT";"M";164;95
"BIOMCO";1987;"YFT";"M";115;27
"BIOMCO";1987;"YFT";"M";113;27.5
"BIOMCO";1987;"YFT";"F";112;26.5
"BIOMCO";1987;"YFT";"F";128;39
"BIOMCO";1987;"YFT";"M";115;32
"BIOMCO";1987;"YFT";"F";115;27.5
"BIOMCO";1987;"YFT";"M";117;32
"BIOMCO";1987;"YFT";"F";112;24.5
"BIOMCO";1987;"YFT";"F";137;50
"BIOMCO";1987;"YFT";"M";117;32.5
"BIOMCO";1987;"YFT";"F";111.5;27
"BIOMCO";1987;"YFT";"F";112;26.5
"BIOMCO";1987;"YFT";"F";132;44.5
"BIOMCO";1987;"YFT";"F";114.5;30
"BIOMCO";1987;"YFT";"M";131;46
"BIOMCO";1987;"YFT";"F";116;30
"BIOMCO";1987;"YFT";"M";116;30
"BIOMCO";1987;"YFT";"M";116.5;32
"BIOMCO";1987;"YFT";"F";115;32
"BIOMCO";1987;"YFT";"M";119;32
"BIOMCO";1987;"YFT";"F";115;29
"BIOMCO";1987;"YFT";"M";111;27
"BIOMCO";1987;"YFT";"M";114;28.5
"BIOMCO";1987;"YFT";"F";98;18.5
"BIOMCO";1987;"YFT";"M";117.5;32.5
"BIOMCO";1987;"YFT";"F";113.5;27.5
"BIOMCO";1987;"YFT";"M";118;32.5
"BIOMCO";1987;"YFT";"F";132;46.5
"BIOMCO";1987;"YFT";"M";114;30.5
"BIOMCO";1987;"YFT";"F";113;29
"BIOMCO";1987;"YFT";"M";118;34
"BIOMCO";1987;"YFT";"M";120;35.5
"BIOMCO";1987;"YFT";"M";115;30.5
"BIOMCO";1987;"YFT";"M";124;37.5
"BIOMCO";1987;"YFT";"M";117;32.5
"BIOMCO";1987;"YFT";"F";114.5;29
"BIOMCO";1987;"YFT";"M";109;27.5
"BIOMCO";1987;"YFT";"F";116;33
"BIOMCO";1987;"YFT";"F";115.5;32
"BIOMCO";1987;"YFT";"M";112;26.5
"BIOMCO";1987;"YFT";"F";116;33
"BIOMCO";1987;"YFT";"F";113.5;30
"BIOMCO";1987;"YFT";"M";115;31
"BIOMCO";1987;"YFT";"F";114;31.5
"BIOMCO";1987;"YFT";"F";111;29
"BIOMCO";1987;"YFT";"M";117;31
"BIOMCO";1987;"YFT";"M";111;28.5
"BIOMCO";1987;"YFT";"M";157;82.5
"BIOMCO";1987;"YFT";"M";107.5;25.5
"BIOMCO";1987;"YFT";"M";141.5;62.5
"BIOMCO";1987;"YFT";"F";144;60
"BIOMCO";1987;"YFT";"M";110;28
"BIOMCO";1987;"YFT";"F";145.5;58.5
"BIOMCO";1987;"YFT";"M";135;51
"BIOMCO";1987;"YFT";"F";131;52
"BIOMCO";1987;"YFT";"F";112;28
"BIOMCO";1987;"YFT";"M";140;59
"BIOMCO";1987;"YFT";"F";139;56
"BIOMCO";1987;"YFT";"M";147;74.5
"BIOMCO";1987;"YFT";"M";113.5;27.5
"BIOMCO";1987;"YFT";"F";139.5;56.5
"BIOMCO";1987;"YFT";"M";138;56.5
"BIOMCO";1987;"YFT";"F";143.5;60
"BIOMCO";1987;"YFT";"M";139;57.5
"BIOMCO";1987;"YFT";"M";145.5;61.5
"BIOMCO";1987;"YFT";"F";136;55
"BIOMCO";1987;"YFT";"M";137;54
"BIOMCO";1987;"YFT";"M";107;25
"BIOMCO";1987;"YFT";"M";138;58
"BIOMCO";1987;"YFT";"M";127;47
"BIOMCO";1987;"YFT";"M";150;71.5
"BIOMCO";1987;"YFT";"M";131;49
"BIOMCO";1987;"YFT";"M";145;58
"BIOMCO";1987;"YFT";"F";134;54
"BIOMCO";1987;"YFT";"F";132;51.5
"BIOMCO";1987;"YFT";"M";139;55
"BIOMCO";1987;"YFT";"M";133;48
"BIOMCO";1987;"YFT";"F";128.5;43.5
"BIOMCO";1987;"YFT";"M";140;57.5
"BIOMCO";1987;"YFT";"F";135;54.5
"BIOMCO";1987;"YFT";"M";140;57.5
"BIOMCO";1987;"YFT";"F";131;39
"BIOMCO";1987;"YFT";"M";135.5;52.5
"BIOMCO";1987;"YFT";"M";141.5;60
"BIOMCO";1987;"YFT";"M";102.5;21
"BIOMCO";1987;"YFT";"F";108.5;24.5
"BIOMCO";1987;"YFT";"M";104.5;22.5
"BIOMCO";1987;"YFT";"M";101;22
"BIOMCO";1987;"YFT";"M";107.5;24
"BIOMCO";1987;"YFT";"M";153;66
"BIOMCO";1987;"YFT";"F";129.5;40.5
"BIOMCO";1987;"YFT";"M";143.5;61.5
"BIOMCO";1987;"YFT";"F";135;51.5
"BIOMCO";1987;"YFT";"M";138;54
"BIOMCO";1987;"YFT";"M";142.5;58
"BIOMCO";1987;"YFT";"M";152.5;63
"BIOMCO";1987;"YFT";"F";138;50
"BIOMCO";1987;"YFT";"F";137;49.5
"BIOMCO";1987;"YFT";"F";136;49
"BIOMCO";1987;"YFT";"F";137;43.5
"BIOMCO";1987;"YFT";"F";132.5;42.5
"BIOMCO";1987;"YFT";"F";137.5;48
"BIOMCO";1987;"YFT";"M";146;61.5
"BIOMCO";1987;"YFT";"F";132;43
"BIOMCO";1987;"YFT";"F";145;59
"BIOMCO";1987;"YFT";"F";99;20
"BIOMCO";1987;"YFT";"M";154.5;72
"BIOMCO";1987;"YFT";"F";143;60
"BIOMCO";1987;"YFT";"F";137;50
"BIOMCO";1987;"YFT";"M";156;82
"BIOMCO";1987;"YFT";"F";137;51.5
"BIOMCO";1987;"YFT";"M";136;56
"BIOMCO";1987;"YFT";"M";114;29
"BIOMCO";1987;"YFT";"M";119.5;31.5
"BIOMCO";1987;"YFT";"M";119;30
"BIOMCO";1987;"YFT";"F";117;28.5
"BIOMCO";1987;"YFT";"F";122.5;32.5
"BIOMCO";1987;"YFT";"M";88;13
"BIOMCO";1987;"YFT";"M";100;17
"BIOMCO";1987;"YFT";"M";94.5;15.5
"BIOMCO";1987;"YFT";"M";119.5;30
"BIOMCO";1987;"YFT";"F";112;24.5
"BIOMCO";1987;"YFT";"F";118.5;30
"BIOMCO";1987;"YFT";"F";118;29
"BIOMCO";1987;"YFT";"F";120;30.5
"BIOMCO";1987;"YFT";"M";123;36.5
"BIOMCO";1987;"YFT";"F";116.5;32
"BIOMCO";1987;"YFT";"F";114.5;26.5
"BIOMCO";1987;"YFT";"F";114;26.5
"BIOMCO";1987;"YFT";"F";96.5;15.5
"BIOMCO";1987;"YFT";"M";110.5;27
"BIOMCO";1987;"YFT";"M";94;14
"BIOMCO";1987;"YFT";"F";114.5;25.5
"BIOMCO";1987;"YFT";"M";140;57.5
"BIOMCO";1987;"YFT";"M";121.5;31
"BIOMCO";1987;"YFT";"M";116.5;29.5
"BIOMCO";1987;"YFT";"F";120;32.5
"BIOMCO";1987;"YFT";"F";120;32.5
"BIOMCO";1987;"YFT";"F";119;34.5
"BIOMCO";1987;"YFT";"F";115;26
"BIOMCO";1987;"YFT";"M";119;32.5
"BIOMCO";1987;"YFT";"M";112.5;29
"BIOMCO";1987;"YFT";"F";134;49.5
"BIOMCO";1987;"YFT";"M";120;31
"BIOMCO";1987;"YFT";"M";138;51
"PATUDO";1987;"BET";NA;87;15
"PATUDO";1987;"BET";NA;85;13.5
